,points,steps_at_termination
508,425,690
509,426,645
510,426,400
511,427,690
512,424,320
513,427,750
514,426,345
515,428,665
516,425,1385
517,425,350
518,426,1945
519,424,415
520,426,875
521,428,1050
522,424,370
523,429,450
524,428,495
525,428,580
526,428,350
527,422,730
528,429,635
529,427,1425
530,429,340
531,426,350
532,426,555
533,426,895
534,427,1520
535,424,1695
536,429,615
537,426,740
538,426,760
539,429,890
540,429,450
541,426,485
542,425,1125
543,429,1575
544,427,305
545,428,325
546,429,935
547,428,1055
548,428,410
549,422,860
550,424,620
551,425,360
552,427,715
553,429,355
554,428,395
555,422,550
556,426,340
557,428,350
558,427,520
559,428,290
560,425,660
561,428,2105
562,428,700
563,428,2360
564,428,905
565,423,1015
566,428,285
567,428,280
568,427,600
569,424,370
570,424,385
571,424,785
572,426,345
573,430,870
574,428,410
575,429,345
576,427,335
577,426,540
578,427,475
579,428,340
580,424,350
581,428,350
582,427,400
583,429,1250
584,427,325
585,430,725
586,427,400
587,429,545
588,426,335
589,424,725
590,428,560
591,428,380
592,427,270
593,426,1615
594,424,345
595,426,1430
596,426,965
597,424,375
598,427,330
599,427,495
600,426,340
601,422,520
602,424,320
603,428,340
604,425,915
605,428,585
606,426,985
607,428,510
608,427,560
609,428,1580
610,426,305
611,426,325
612,425,510
613,425,830
614,420,2715
615,427,430
616,427,685
617,428,480
618,427,960
619,428,740
620,426,325
621,427,420
622,426,570
623,427,290
624,427,420
625,427,325
626,427,360
627,425,590
628,428,635
629,428,1235
630,427,625
631,426,950
632,426,1130
633,426,335
634,424,1740
635,429,360
636,427,915
637,424,505
638,426,395
639,427,755
640,429,525
641,428,890
642,426,300
643,427,275
644,425,485
645,427,435
646,422,325
647,427,350
648,429,735
649,427,405
650,427,590
651,427,640
652,430,575
653,428,435
654,430,770
655,423,440
656,428,360
657,427,335
658,429,465
659,426,840
660,426,1600
661,425,390
662,421,930
663,428,335
664,427,610
665,428,590
666,426,575
667,425,395
668,427,660
669,427,2685
670,429,3005
671,424,365
672,428,625
673,428,325
674,427,1345
675,429,340
676,425,825
677,423,445
678,426,1025
679,427,535
680,427,535
681,429,625
682,430,330
683,427,410
684,423,645
685,429,640
686,425,370
687,430,750
688,427,1175
689,428,865
690,427,965
691,425,370
692,427,1370
693,424,455
694,425,345
695,428,2765
696,425,585
697,428,345
698,427,405
699,427,300
700,428,615
701,428,325
702,429,350
703,430,365
704,425,515
705,427,295
706,425,390
707,429,305
708,424,810
709,428,660
710,426,365
711,426,530
712,426,465
713,426,725
714,427,355
715,427,680
716,423,395
717,426,330
718,425,945
719,423,375
720,428,335
721,426,635
722,426,1485
723,428,340
724,425,360
725,426,510
726,427,1080
727,427,1315
728,427,925
729,428,335
730,424,365
731,425,1220
732,426,490
733,430,400
734,426,305
735,426,325
736,427,470
737,426,560
738,427,885
739,427,455
740,427,435
741,426,670
742,430,390
743,427,1695
744,426,1630
745,428,555
746,427,295
747,425,315
748,424,310
749,429,445
750,425,415
751,426,315
752,428,415
753,428,835
754,426,695
755,424,440
756,427,300
757,425,1085
758,427,330
759,425,340
760,427,575
761,423,2190
762,426,685
763,428,1395
764,425,690
765,426,1080
766,426,1965
767,427,1050
768,419,530
769,428,310
770,426,335
771,426,330
772,428,380
773,428,320
774,424,765
775,428,410
776,428,645
777,428,425
778,427,360
779,428,445
780,426,450
781,425,1885
782,423,405
783,428,595
784,422,330
785,426,310
786,429,320
787,429,330
788,427,325
789,426,755
790,426,830
791,429,1015
792,427,400
793,427,1405
794,428,695
795,429,865
796,425,425
797,427,765
798,429,315
799,423,395
800,427,400
801,426,315
802,430,285
803,428,570
804,427,340
805,428,365
806,427,885
807,430,610
808,427,785
809,428,1370
810,424,915
811,422,885
812,425,1315
813,422,595
814,427,425
815,424,650
816,428,310
817,428,385
818,427,500
819,428,300
820,428,390
821,428,430
822,427,375
823,427,955
824,427,1345
825,427,425
826,427,760
827,428,1060
828,423,810
829,425,475
830,425,335
831,426,1980
832,423,355
833,425,405
834,424,395
835,429,285
836,429,390
837,427,720
838,425,390
839,424,800
840,427,405
841,430,615
842,426,390
843,427,490
844,424,1660
845,429,335
846,424,370
847,424,335
848,422,730
849,428,625
850,426,735
851,424,510
852,424,560
853,427,580
854,426,335
855,427,325
856,428,780
857,426,1370
858,428,485
859,428,345
860,427,475
861,425,855
862,427,335
863,426,485
864,429,395
865,426,360
866,426,350
867,426,360
868,426,345
869,425,330
870,427,1080
871,425,495
872,426,350
873,427,750
874,428,470
875,426,310
876,426,575
877,428,360
878,428,670
879,426,860
880,427,1325
881,428,315
882,426,1045
883,428,405
884,428,330
885,425,375
886,426,300
887,429,545
888,430,875
889,422,510
890,426,320
891,424,330
892,426,400
893,425,920
894,427,1105
895,425,355
896,425,335
897,425,365
898,428,560
899,429,320
900,428,900
901,427,290
902,427,300
903,423,765
904,425,1120
905,428,700
906,426,845
907,425,1775
908,428,395
909,423,840
910,427,1175
911,428,340
912,427,650
913,426,355
914,429,285
915,422,505
916,427,340
917,426,390
918,425,355
919,427,650
920,427,520
921,427,785
922,428,360
923,425,865
924,425,290
925,427,405
926,428,415
927,429,330
928,426,355
929,426,385
930,424,400
931,428,330
932,430,335
933,427,375
934,427,805
935,428,335
936,427,445
937,428,660
938,427,575
939,425,830
940,424,320
941,427,310
942,426,335
943,423,545
944,424,680
945,428,1600
946,429,350
947,429,370
948,425,310
949,426,305
950,423,835
951,427,460
952,423,375
953,427,660
954,428,650
955,426,315
956,425,335
957,427,315
958,428,415
959,426,955
960,428,315
961,428,370
962,428,550
963,426,435
964,428,460
965,425,930
966,430,410
967,428,295
968,427,375
969,429,410
970,426,1340
971,426,910
972,427,365
973,428,390
974,428,575
975,428,1755
976,426,475
977,428,310
978,426,795
979,427,1960
980,425,340
981,425,1660
982,427,1005
983,429,290
984,427,345
985,426,285
986,427,345
987,426,335
988,429,745
989,428,595
990,428,365
991,429,330
992,429,370
993,427,320
994,426,350
995,428,380
996,425,740
997,430,345
998,426,1140
999,428,835
