,points,steps_at_termination
0,424,415
1,427,1235
2,426,340
3,426,820
4,424,395
5,428,910
6,424,360
7,428,1035
8,428,520
9,428,1395
10,428,310
11,426,565
12,427,1875
13,428,745
14,427,955
15,428,330
16,428,530
17,427,450
18,427,1180
19,426,350
20,427,1345
21,426,775
22,429,1170
23,426,330
24,425,425
25,426,1070
26,429,1810
27,424,330
28,425,1190
29,428,375
30,429,415
31,425,460
32,427,415
33,427,520
34,428,415
35,428,665
36,427,615
37,428,350
38,427,325
39,426,355
40,428,295
41,428,400
42,423,730
43,422,465
44,428,360
45,424,325
46,428,1880
47,425,1070
48,428,325
49,428,2780
50,427,330
51,428,350
52,430,1035
53,427,530
54,427,315
55,429,355
56,426,365
57,426,485
58,426,735
59,429,340
60,427,835
61,427,325
62,430,320
63,426,325
64,430,325
65,429,380
66,428,315
67,427,820
68,428,640
69,426,350
70,428,450
71,427,840
72,426,765
73,428,570
74,429,290
75,425,290
76,428,1045
77,426,855
78,427,345
79,430,520
80,425,1245
81,429,330
82,426,1055
83,426,350
84,429,320
85,429,365
86,426,395
87,424,705
88,426,385
89,426,350
90,427,300
91,422,735
92,427,1120
93,425,895
94,428,350
95,428,315
96,425,610
97,428,1065
98,428,560
99,425,345
100,426,395
101,429,1290
102,429,350
103,425,405
104,429,595
105,425,545
106,425,920
107,428,335
108,426,380
109,428,325
110,427,330
111,426,310
112,425,670
113,430,610
114,429,340
115,425,375
116,428,1355
117,424,275
118,424,465
119,426,1295
120,424,450
121,427,345
122,425,405
123,429,1075
124,429,325
125,429,1235
126,427,695
127,425,315
128,426,300
129,428,700
130,427,995
131,425,470
132,428,345
133,427,1040
134,429,1095
135,426,285
136,427,515
137,426,475
138,427,370
139,424,360
140,427,315
141,424,420
142,428,405
143,427,1080
144,425,345
145,428,420
146,426,380
147,428,605
148,428,740
149,430,945
150,429,960
151,426,1035
152,427,505
153,428,350
154,426,1020
155,426,330
156,425,450
157,426,495
158,428,495
159,430,720
160,429,295
161,425,1445
162,428,905
163,430,305
164,428,305
165,428,300
166,428,550
167,427,1075
168,426,265
169,427,985
170,423,320
171,426,975
172,424,550
173,426,330
174,427,345
175,427,350
176,425,1050
177,426,740
178,427,500
179,426,625
180,424,575
181,430,340
182,428,1490
183,428,310
184,428,430
185,428,380
186,425,340
187,429,725
188,426,505
189,427,800
190,426,320
191,426,320
192,427,875
193,426,305
194,425,1400
195,425,550
196,425,480
197,425,325
198,424,310
199,427,780
200,426,1330
201,428,560
202,426,540
203,424,750
204,428,455
205,429,345
206,427,515
207,428,1040
208,428,280
209,428,315
210,424,350
211,426,620
212,427,305
213,427,425
214,429,335
215,423,645
216,428,970
217,428,540
218,427,325
219,429,645
220,427,355
221,429,330
222,428,435
223,427,345
224,429,360
225,423,430
226,420,1115
227,427,345
228,425,365
229,426,1755
230,425,410
231,428,1025
232,428,330
233,427,340
234,424,640
235,428,330
236,430,330
237,425,495
238,425,280
239,424,670
240,423,1305
241,428,425
242,426,370
243,429,535
244,424,500
245,427,415
246,428,805
247,425,755
248,426,1335
249,426,450
250,425,1210
251,426,360
252,425,400
253,428,345
254,424,520
255,424,495
256,427,710
257,430,720
258,424,670
259,424,780
260,425,485
261,428,335
262,428,1275
263,426,480
264,427,640
265,421,370
266,426,395
267,429,625
268,429,335
269,429,350
270,428,320
271,427,1500
272,428,330
273,425,320
274,426,850
275,428,1170
276,424,575
277,427,1030
278,426,430
279,427,495
280,427,325
281,428,1090
282,425,425
283,428,475
284,427,1225
285,426,930
286,429,635
287,425,385
288,426,330
289,427,355
290,426,980
291,427,370
292,426,400
293,425,690
294,423,665
295,425,350
296,429,515
297,429,785
298,427,325
299,429,310
300,429,355
301,425,495
302,427,570
303,428,615
304,430,910
305,427,390
306,428,290
307,427,720
308,427,705
309,428,280
310,425,425
311,426,300
312,429,830
313,427,600
314,425,355
315,426,925
316,425,345
317,428,295
318,425,335
319,428,335
320,425,1380
321,426,350
322,429,385
323,426,380
324,428,1525
325,429,395
326,421,415
327,428,620
328,430,330
329,427,330
330,427,450
331,425,355
332,429,325
333,428,315
334,426,355
335,427,500
336,426,620
337,426,340
338,426,435
339,427,435
340,425,400
341,426,690
342,428,1865
343,427,395
344,429,365
345,428,330
346,428,375
347,428,405
348,428,605
349,427,1670
350,428,815
351,428,360
352,427,315
353,428,1260
354,426,470
355,425,315
356,427,440
357,424,410
358,428,500
359,428,370
360,425,790
361,428,740
362,427,565
363,429,1155
364,426,530
365,425,885
366,428,335
367,426,405
368,428,300
369,428,340
370,429,1135
371,429,315
372,429,405
373,428,330
374,426,1320
375,428,520
376,428,400
377,426,630
378,428,1340
379,426,365
380,428,425
381,426,1395
382,420,1185
383,425,400
384,425,380
385,428,425
386,426,630
387,424,405
388,429,620
389,427,490
390,426,400
391,425,405
392,427,1085
393,425,1755
394,427,1120
395,430,1210
396,428,1465
397,428,690
398,430,1295
399,424,1355
400,428,445
401,428,330
402,430,1295
403,426,935
404,428,425
405,427,440
406,426,2140
407,425,1600
408,428,930
409,421,575
410,427,1550
411,426,400
412,427,465
413,427,485
414,428,325
415,423,405
416,425,370
417,424,860
418,429,350
419,428,340
420,425,415
421,427,430
422,429,335
423,427,1815
424,425,770
425,430,370
426,427,375
427,423,960
428,424,380
429,426,370
430,427,430
431,426,545
432,426,455
433,428,395
434,429,890
435,428,290
436,428,640
437,428,300
438,428,410
439,425,345
440,426,300
441,423,405
442,422,1035
443,426,2390
444,427,335
445,424,745
446,423,450
447,427,375
448,425,2255
449,429,1740
450,427,740
451,421,670
452,422,350
453,427,355
454,426,650
455,420,395
456,427,780
457,426,555
458,425,495
459,425,355
460,428,640
461,422,365
462,429,375
463,428,405
464,424,1200
465,428,1110
466,425,340
467,428,350
468,424,870
469,427,340
470,427,325
471,425,345
472,430,300
473,427,810
474,428,400
475,426,360
476,423,725
477,428,295
478,425,1850
479,425,1180
480,428,1015
481,428,435
482,425,315
483,422,670
484,427,335
485,425,570
486,428,380
487,425,385
488,427,325
489,427,545
490,426,1055
491,425,585
492,429,385
493,427,765
494,424,730
495,427,375
496,424,405
497,428,470
498,424,760
499,428,485
500,429,320
501,424,345
502,429,330
503,425,680
504,425,805
505,426,525
506,428,800
507,426,680
